Date,Company,Close,Volume
2010-01-01,Company_1,86.30534127447832,202798
2010-01-04,Company_1,86.62424345916772,333255
2010-01-05,Company_1,86.90328475136785,238103
2010-01-06,Company_1,87.91380003617438,770042
2010-01-07,Company_1,87.33292190215086,690925
2010-01-08,Company_1,86.80775209497271,887867
2010-01-11,Company_1,86.23637192921858,90242
2010-01-12,Company_1,85.31228909147147,376348
2010-01-13,Company_1,82.69974007877786,154956
2010-01-14,Company_1,83.65010976117478,804631
2010-01-15,Company_1,84.4665548421261,585326
2010-01-18,Company_1,82.94267884451024,583074
2010-01-19,Company_1,82.514632780334,897068
2010-01-20,Company_1,81.77222594321483,761330
2010-01-21,Company_1,81.06888214150742,836726
2010-01-22,Company_1,78.92926148543118,734375
2010-01-25,Company_1,78.29978652450693,166250
2010-01-26,Company_1,78.89750699141955,931169
2010-01-27,Company_1,81.45699502245733,523820
2010-01-28,Company_1,81.85122804433693,263678
2010-01-29,Company_1,81.97344720955961,879260
2010-02-01,Company_1,81.45801154746717,823564
2010-02-02,Company_1,80.85775769736125,903152
2010-02-03,Company_1,81.8051975184079,299254
2010-02-04,Company_1,82.09623151967007,715114
2010-02-05,Company_1,81.46067177939543,851012
2010-02-08,Company_1,80.43911958471983,416685
2010-02-09,Company_1,80.27736419832232,327160
2010-02-10,Company_1,79.74371539447982,47233
2010-02-11,Company_1,79.7381875321597,917295
2010-02-12,Company_1,79.50873707832774,198780
2010-02-15,Company_1,79.89808599158387,452448
2010-02-16,Company_1,78.63296687766123,749810
2010-02-17,Company_1,79.72495914201889,107311
2010-02-18,Company_1,82.50327218357134,559697
2010-02-19,Company_1,83.69691190785366,771519
2010-02-22,Company_1,83.91555022390752,937828
2010-02-23,Company_1,84.79731126285613,402954
2010-02-24,Company_1,83.78822591999102,497246
2010-02-25,Company_1,82.20493170645413,811486
2010-02-26,Company_1,82.97863212328781,30709
2010-03-01,Company_1,82.44049046162485,634609
2010-03-02,Company_1,81.09381236426351,1363
2010-03-03,Company_1,80.2132210982164,797790
2010-03-04,Company_1,79.08266879353484,495829
2010-03-05,Company_1,79.21709767616285,397456
2010-03-08,Company_1,79.7992204708759,466417
2010-03-09,Company_1,80.68696893046925,46689
2010-03-10,Company_1,81.58130126057802,265080
2010-03-11,Company_1,82.33629905782274,899704
2010-03-12,Company_1,82.12913316771818,616362
2010-03-15,Company_1,81.50565577273322,176037
2010-03-16,Company_1,79.99750248318573,209606
2010-03-17,Company_1,81.09714945897055,1882
2010-03-18,Company_1,80.9194173376999,414440
2010-03-19,Company_1,80.5090340290136,892659
2010-03-22,Company_1,81.6887503737143,780110
2010-03-23,Company_1,80.79054243425863,126865
2010-03-24,Company_1,81.62533785348904,649033
2010-03-25,Company_1,81.92189923781802,425041
2010-03-26,Company_1,80.88406936130254,464956
2010-03-29,Company_1,80.80826561627435,29885
2010-03-30,Company_1,81.78122915003014,696416
2010-03-31,Company_1,82.57682461392608,397419
2010-04-01,Company_1,84.07225886680956,716601
2010-04-02,Company_1,84.41044011880288,396460
2010-04-05,Company_1,87.78273637242955,361466
2010-04-06,Company_1,86.86234556736217,331763
2010-04-07,Company_1,86.46370717734698,22584
2010-04-08,Company_1,86.40284308987222,795953
2010-04-09,Company_1,84.98409263128082,706377
2010-04-12,Company_1,86.02658424862024,820973
2010-04-13,Company_1,86.93011673924609,554351
2010-04-14,Company_1,86.94911707030823,71268
2010-04-15,Company_1,86.41470061663473,781594
2010-04-16,Company_1,84.9196467458204,651506
2010-04-19,Company_1,84.13038841712248,381350
2010-04-20,Company_1,84.87409970089371,459168
2010-04-21,Company_1,84.66193827918208,749414
2010-04-22,Company_1,84.23506948514235,171635
2010-04-23,Company_1,84.73651781666716,171824
2010-04-26,Company_1,85.89470446959919,751593
2010-04-27,Company_1,86.15182133965547,396783
2010-04-28,Company_1,86.46633423551863,410337
2010-04-29,Company_1,87.83819636906841,920178
2010-04-30,Company_1,88.01374966302325,601699
2010-05-03,Company_1,87.70446111657867,110876
2010-05-04,Company_1,88.37758661935264,984779
2010-05-05,Company_1,88.1209564366601,199153
2010-05-06,Company_1,87.75313071252732,685500
2010-05-07,Company_1,89.02686433266689,665687
2010-05-10,Company_1,88.73491166184127,989167
2010-05-11,Company_1,86.0797356142778,24331
2010-05-12,Company_1,86.42525355816656,24004
2010-05-13,Company_1,86.02973710658627,239441
2010-05-14,Company_1,85.74060025011633,906675
2010-05-17,Company_1,86.19353657664983,404708
2010-05-18,Company_1,86.02747566829876,449013
2010-05-19,Company_1,86.24241449839353,190167
2010-05-20,Company_1,84.22009956519778,932253
2010-05-21,Company_1,83.27704275673052,850649
2010-05-24,Company_1,84.68100149538982,614332
2010-05-25,Company_1,84.66245069087817,796477
2010-05-26,Company_1,82.98894606888796,283260
2010-05-27,Company_1,81.9164142344523,543955
2010-05-28,Company_1,80.92382805504911,338201
2010-05-31,Company_1,81.02617573759878,599493
2010-06-01,Company_1,80.59356645705076,28302
2010-06-02,Company_1,79.93438415461428,405499
2010-06-03,Company_1,79.93832145904568,163007
2010-06-04,Company_1,80.4160755584792,597822
2010-06-07,Company_1,80.15704691374032,750702
2010-06-08,Company_1,79.58233770612692,163696
2010-06-09,Company_1,79.16083948578704,14440
2010-06-10,Company_1,79.50066044997368,374145
2010-06-11,Company_1,79.49328030002911,309645
2010-06-14,Company_1,80.26057713873551,395485
2010-06-15,Company_1,79.11078456124116,795300
